,date,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,price
0,2014-09-16,5.0,3.25,3710,34200,2.0,False,3,8,2510,1200,1986,0,98074,47.6101,-122.04700000000001,635000.0
1,2014-11-18,3.0,1.75,2820,8879,1.0,False,5,7,1540,1280,1920,1957,98146,47.5094,-122.376,456700.0
2,2014-11-10,3.0,1.0,1240,239144,1.0,False,3,6,1240,0,1921,1992,98038,47.4303,-122.046,234000.0
3,2015-04-16,4.0,2.5,2670,8279,2.0,False,3,7,2670,0,1999,0,98148,47.4292,-122.32799999999999,415000.0
4,2014-07-23,3.0,2.25,2700,4025,2.0,False,4,8,1760,940,1907,0,98122,47.6074,-122.294,552500.0
5,2015-04-24,4.0,2.25,2860,11545,1.0,False,4,8,1430,1430,1966,0,98005,47.588,-122.16799999999999,957000.0
6,2014-11-20,4.0,3.0,2090,7500,1.0,False,3,7,1370,720,1986,0,98056,47.4888,-122.182,338000.0
7,2015-04-23,4.0,3.75,3450,4940,2.0,False,3,10,2570,880,2006,0,98103,47.692,-122.338,990000.0
8,2014-11-19,3.0,3.0,3490,4500,2.5,False,3,9,3170,320,1924,0,98102,47.6394,-122.321,1050000.0
9,2014-09-15,3.0,1.75,1300,2446,1.0,False,3,8,880,420,1961,0,98122,47.6071,-122.285,676500.0
10,2014-10-15,3.0,2.25,2890,21480,2.0,False,3,8,1790,1100,1941,1989,98146,47.5027,-122.381,1072500.0
11,2014-10-27,3.0,1.5,970,8400,1.0,False,3,7,970,0,1966,0,98003,47.3284,-122.331,155000.0
12,2014-11-04,4.0,1.75,2140,11651,2.5,False,3,8,2140,0,1930,2001,98022,47.196000000000005,-122.006,340000.0
13,2015-04-09,4.0,2.0,2060,3060,2.0,False,3,7,2060,0,1968,0,98118,47.5631,-122.285,400000.0
14,2015-03-06,3.0,2.5,3370,167706,1.0,False,3,10,3370,0,2000,0,98038,47.4379,-122.022,713900.0
15,2015-02-25,3.0,1.0,1140,6120,1.5,False,3,7,1140,0,1926,0,98115,47.6822,-122.309,704000.0
16,2014-10-30,4.0,2.5,2590,9530,1.0,False,4,8,1640,950,1978,0,98155,47.7752,-122.285,537250.0
17,2014-11-07,3.0,1.0,960,10125,1.0,False,4,7,960,0,1952,0,98003,47.3335,-122.305,179950.0
18,2015-03-10,4.0,2.5,2230,14694,1.0,False,4,7,1180,1050,1981,0,98074,47.6305,-122.03399999999999,549950.0
19,2014-06-15,4.0,2.5,2700,9122,2.0,False,3,9,2700,0,1990,0,98029,47.5771,-121.994,652500.0
20,2014-06-09,4.0,2.75,2190,14937,2.0,False,3,8,2190,0,1993,0,98001,47.3535,-122.273,367300.0
21,2015-03-26,3.0,2.5,2550,6677,2.0,False,3,8,2550,0,2002,0,98028,47.7336,-122.23200000000001,595000.0
22,2014-07-15,2.0,0.75,550,7980,1.0,False,3,5,550,0,1952,0,98146,47.511,-122.348,115000.0
23,2014-05-02,2.0,2.0,1350,2560,1.0,False,3,8,1350,0,1976,0,98052,47.6344,-122.10700000000001,335000.0
24,2014-08-13,3.0,2.0,3120,9400,1.0,False,5,9,1820,1300,1978,0,98006,47.5612,-122.15,855000.0
25,2014-10-16,4.0,2.5,2230,7200,1.0,False,4,7,1220,1010,1957,0,98005,47.589,-122.156,556000.0
26,2014-07-21,3.0,2.0,1730,12219,1.0,False,4,7,1730,0,1986,0,98004,47.5825,-122.189,625000.0
27,2015-01-27,4.0,2.25,2360,15860,1.0,False,3,9,2360,0,1977,0,98074,47.6307,-122.051,615000.0
28,2015-02-02,4.0,2.5,1840,7800,1.0,False,3,8,1240,600,1972,0,98177,47.7762,-122.384,510000.0
29,2014-08-11,3.0,2.5,1580,2765,2.0,False,3,8,1580,0,2011,0,98126,47.5444,-122.369,349900.0
30,2014-12-03,3.0,2.5,2210,7000,2.0,False,4,8,2210,0,1985,0,98058,47.4377,-122.132,412000.0
31,2014-12-18,4.0,1.75,1360,7700,1.0,False,4,7,1360,0,1966,0,98058,47.4558,-122.177,260000.0
32,2015-04-01,4.0,2.0,2190,8402,2.0,False,4,6,2190,0,1928,0,98033,47.6944,-122.175,540000.0
33,2015-03-09,4.0,2.5,2570,8178,1.0,False,3,8,1710,860,1961,0,98118,47.5483,-122.26100000000001,752000.0
34,2015-04-06,4.0,2.5,2420,18470,1.0,False,3,8,920,1500,1968,0,98005,47.6001,-122.176,675000.0
35,2014-07-15,4.0,2.5,3420,222156,2.0,False,3,9,3420,0,2002,0,98010,47.3608,-121.97,650000.0
36,2015-02-24,4.0,3.5,4270,40097,1.0,False,4,12,4270,0,1993,0,98077,47.7354,-122.07799999999999,1100000.0
37,2014-07-04,3.0,2.5,2320,7609,2.0,False,3,8,2320,0,2003,0,98027,47.5391,-122.069,600000.0
38,2014-11-24,3.0,1.0,1000,223462,1.0,False,4,6,1000,0,1933,0,98022,47.2099,-122.04299999999999,220000.0
